Sex = Female,Sex = Male,Age_Cat = Less than 25,Age_Cat = 25 - 45,Age_Cat = Greater than 45,Race = African-American,Race = Asian,Race = Caucasian,Race = Hispanic,Race = Native American,Race = Other,C_Charge_Degree = F,C_Charge_Degree = M,Priors_Count,Time_Served,Status
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,0,10,0
0,1,1,0,0,1,0,0,0,0,0,1,0,4,1,0
0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1
0,1,0,1,0,0,0,1,0,0,0,1,0,14,6,0
0,1,0,1,0,0,0,0,0,0,1,1,0,3,0,1
1,0,0,1,0,0,0,1,0,0,0,0,1,0,2,1
0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1
0,1,1,0,0,1,0,0,0,0,0,0,1,3,4,0
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,1,0,0,0,1,0,1,14,0
0,1,0,1,0,1,0,0,0,0,0,1,0,7,3,0
0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,3,1,1
0,1,0,1,0,0,0,1,0,0,0,1,0,6,1,0
0,1,0,1,0,0,0,1,0,0,0,1,0,5,1,0
0,1,0,0,1,1,0,0,0,0,0,1,0,13,1,0
0,1,1,0,0,1,0,0,0,0,0,1,0,1,3,0
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0
0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1
0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1
0,1,0,1,0,1,0,0,0,0,0,1,0,8,17,0
0,1,0,1,0,1,0,0,0,0,0,1,0,5,0,0
0,1,0,1,0,1,0,0,0,0,0,1,0,0,37,0
0,1,0,1,0,0,0,1,0,0,0,1,0,9,44,0
0,1,0,1,0,1,0,0,0,0,0,1,0,4,1,0
0,1,0,0,1,0,0,1,0,0,0,1,0,0,2,1
0,1,0,0,1,0,0,0,0,0,1,1,0,7,3,0
1,0,0,1,0,0,0,1,0,0,0,0,1,4,11,0
0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0
0,1,0,1,0,1,0,0,0,0,0,1,0,21,33,0
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,1,0,2,79,1
0,1,0,0,1,1,0,0,0,0,0,0,1,2,1,1
0,1,0,1,0,0,0,1,0,0,0,0,1,2,0,0
1,0,0,0,1,1,0,0,0,0,0,1,0,7,1,1
0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0,1,0,0,0,1,0,0,0,0,1,9,6,0
0,1,0,1,0,1,0,0,0,0,0,1,0,13,0,0
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,15,135,1
0,1,1,0,0,1,0,0,0,0,0,1,0,2,1,0
0,1,0,1,0,0,0,0,1,0,0,0,1,0,23,1
